Product,Count
.NET,163
Azure,163
Bing,157
Dynamics365,154
Edge,170
GitHub,164
InternetExplorer,17
Microsoft365,31
Office365,152
OneDrive,166
Outlook,167
PowerBI,161
PowerShell,159
SQLServer,160
SharePoint,158
Skype,5
Surface,160
Teams,169
VisualStudio,151
Windows,165
WindowsServer,114
Xbox,164
