cleaned_tweet,product,reply,Polarity,Sentiment
even skype email,Skype,,0.0,Neutral
one time payment skype session approach loser findomm paypigs cuck humiliation humanatm whalesub finsub femsub femdom findomme find sissy bitchboy goddess sph walletdrain cei joi cbt tasksub rtsub expose sdh,Skype,,0.0,Neutral
lot stuff wan na tomorrow cbt humiliation rip worship tease denial sph exposure retweet game censored foot skype session much entertain weekend findom,Skype,,-0.13333333333333336,Negative
esex skype wild,Skype,,0.1,Positive
esex skype wild,Skype,even skype email,0.1,Positive
