cleaned_tweet,product,reply,Polarity,Sentiment
icymi streamed introduction azure virtual machine scale set yesterday learnlive rewatch info infitzgeraldsteele linkedin amp twitter,Azure,,0.0,Neutral
organization benefit virtual desktop solution reply discus goal question one cloud expert,Azure,,0.0,Neutral
epic microsoft team leverage azure openai service health record,Azure,,0.1,Positive
point propose move entire company infrastructure azure another provider terminate contract course dont care much others follow blockmicrosoft,Azure,,0.1,Positive
openai conduct research declared intention promoting developing friendly openai system run azurebased supercomputing platform microsoft,Azure,,0.375,Positive
azure storage mover help migration file folder azure storage,Azure,,0.0,Neutral
temperature kempele degree celcius build azure function,Azure,,0.0,Neutral
tune azure cosmosdb query net sdk,Azure,,0.0,Neutral
good andrew azure art cartoonart,Azure,,0.7,Positive
cryptonews day worldeconomicforum bitcoin azure ethereum moonpay,Azure,,0.0,Neutral
cloud infrastructure service market billion spending market share amzn aws msft azure goog gcp big market estimate synergy research group,Azure,,0.0,Neutral
icymi streamed introduction azure virtual machine scale set yesterday learnlive rewatch info infitzgeraldsteele linkedin amp twitter,Azure,,0.0,Neutral
check essential learning help embrace cloud native approach,Azure,,0.0,Neutral
deciding migrate existing onpremise microsoft sqlserver azuresql service huge step right direction recent blog dig deeper choice decide route best org mspartner datamodernization,Azure,,0.42142857142857143,Positive
azure little cat friend wukong,Azure,,-0.1875,Negative
everyone week bootcamp week learned azure offering sql database first took course codecademy get familiar sql syntax scacloudgirl scacloudschool scaxdeimos,Azure,,0.3125,Positive
skilled insert another cloud offering cloud architect looking expand knowledge skill google cloud earn new skill badge demonstrate knowledge concept cloud provider translate google cloud,Azure,,0.3181818181818182,Positive
azure little cat friend wukong,Azure,,-0.1875,Negative
make workload efficient four strategy cloud cost optimization,Azure,,0.0,Neutral
rexstill oblivious always,Azure,,0.0,Neutral
think future really buying qqq selling azure amazon bedrock nvidia google also get sht together soon well concentrated version also bulz,Azure,,0.1,Positive
think future really buying qqq selling azure amazon bedrock nvidia google also get sht together soon well concentrated version also bulz,Azure,sure mega tech multi trillion dollar valuation growth aint much sure theyll well top holding nvda tsla amd,0.1,Positive
dun worry chillin,Azure,,0.0,Neutral
fantastic proactive team boston may red hat summit let know plan would love get together talk thing red hat redhat azure redhatlinux openshift aws hybridcloud,Azure,,0.225,Positive
keep trusting god keep coming thru officially sec certified azure next,Azure,,-0.05,Negative
azure sky rufous building gleam tall upon emerald hill foot two lover defy law propriety sheer force young love gaiety make world around fall away bonus point spot two lover,Azure,,0.19999999999999998,Positive
cloud infrastructure service market billion spending market share amzn aws msft azure goog gcp big market estimate synergy research group,Azure,,0.0,Neutral
cloud infrastructure service market billion spending market share amzn aws msft azure goog gcp big market estimate synergy research group,Azure,,0.0,Neutral
sketch made lasted two day sakura alt costume blooming efflorence outfit concept azure miko idea luo xiaohei gunvolt azurestrikergunvolt luminousavengerix ガンヴォルトアート luoxiaohei,Azure,,0.0,Neutral
keep trusting god keep coming thru officially sec certified azure next,Azure,,-0.05,Negative
time,Azure,,0.0,Neutral
pick team team html cs javascript team juliaexcel scalasql python team python php sql team figma team android studio java kotlin team xcode objective swift team react native flutter ionic team aws azure linux,Azure,,0.0,Neutral
azure sky rufous building gleam tall upon emerald hill foot two lover defy law propriety sheer force young love gaiety make world around fall away bonus point spot two lover,Azure,,0.19999999999999998,Positive
seele azure water seele honkai midrail,Azure,,0.0,Neutral
winrina working overseas year migo made big decision finally take break visit homeland exlover azure still resides belief love sweeter second time around ayon nga lang yung exlover niya may anak,Azure,,0.125,Positive
loved old school anime vibe going previous season,Azure,,0.2111111111111111,Positive
load csv file use azure,Azure,,0.0,Neutral
load csv file use azure,Azure,,0.0,Neutral
load csv file use azure,Azure,giving issue hit,0.0,Neutral
load csv file use azure,Azure,east,0.0,Neutral
leverage cloud cut file data cost comparison alternative new blog article microsoft community hub,Azure,,0.13636363636363635,Positive
get caught azure skilling new learning resource microsoftlearn mctbuzz microsoftmct,Azure,,0.13636363636363635,Positive
azure little cat friend wukong,Azure,,-0.1875,Negative
swingset sits empty plastic seat cracked rufous rust decayed whimsy ghost ship joyous flight toe pointed azure heaven laughter contrail falling behind almost quickly childhood,Azure,,-0.05555555555555556,Negative
cloud infrastructure service market billion spending market share amzn aws msft azure goog gcp big market estimate synergy research group,Azure,,0.0,Neutral
ai earns seventh microsoft advanced specialization analytics silicon kubernetes container docker devops,Azure,,0.4,Positive
azure little cat friend wukong,Azure,,-0.1875,Negative
fridayyyyyyyyy dayyyyyyyy knustlive,Azure,,0.0,Neutral
