Topic,Top Terms
0,"['http', 'net', 'window', 'windowsserv', 'azur', 'microsoft', 'powershel', 'develop', 'onedr', 'sqlserver']"
1,"['http', 'edg', 'new', 'windowsserv', 'team', 'amp', 'window', 'like', 'contain', 'data']"
2,"['http', 'window', 'team', 'launch', 'open', 'weather', 'visualstudio', 'hour', 'apart', 'us']"
3,"['http', 'bing', 'powershel', 'microsoft', 'net', 'edg', 'amp', 'like', 'offic', 'com']"
4,"['roadmap', 'project', 'http', 'rita', 'tyna', 'drive', 'the', 'search', 'base', 'data']"
5,"['http', 'edg', 'the', 'dai', 'xbox', 'internet', 'session', 'window', 'game', 'onedr']"
6,"['http', 'appear', 'win', 'championship', 'final', 'seri', 'heat', 'it’', 'app', 'knick']"
7,"['http', 'sql', 'server', 'azur', 'tensorflow', 'cours', 'learn', 'windowsserv', 'analyt', 'datasci']"
8,"['http', 'sqlserver', 'powershel', 'work', 'improv', 'chang', 'final', 'break', 'month', 'hard']"
